TRANSECT_ID,site,transect_lon,transect_lat,centroiddist,jaccard,meanvol,mismatch,overallnichedist,synindex,speciesICOV,meanab,spprich,ICOV,meancommsize,nsite
UKBMS.2238,UK,-2.01003843375833,50.8042570544491,0.968604136613317,0.405119660697173,529.967450191926,4.79244717259278,692.183731125563,0.127281060097097,2.09139348456595,0.010181121371236,28,5.76012520286324,0.28292800442172,22
UKBMS.2239,UK,-2.29038894229698,50.9145466370183,0.956029008454345,0.401585637286516,502.681451247698,4.54482954362022,678.057053839055,0.340840500721474,1.61702426120088,0.006086040687669,26,2.60025119232301,0.153583026765286,23
UKBMS.2254,UK,-1.96801213185929,50.6030653732602,1.09525014994546,0.350525834399588,641.660057900457,4.68050199406533,690.645434582766,0.167347129811425,1.83241212077307,0.006900720657215,32,4.36433440837068,0.219442916899435,24
UKBMS.2316,UK,-2.1036650656081,51.8460506622938,0.996018317481351,0.373585538350892,583.810637097577,3.94081319695479,637.558077888047,0.240547211671676,1.78398303151804,0.012462237493174,32,3.65646187210229,0.391002701348328,25
UKBMS.2380,UK,-2.27252435496815,52.7923726989718,0.993516790674096,0.425059264985881,475.090768712293,4.23338993271965,646.551795955185,0.042051923847534,1.74296371117484,0.020592412875024,22,1.14633141969238,0.277997573812821,26
UKBMS.2418,UK,-1.6586342497788,51.1466894884711,1.08508848448857,0.340368406719012,689.914934657742,4.41431662828241,667.032766889866,0.077432837036413,2.21474114916627,0.014830325147615,38,3.78830236877237,0.487752915966019,27
UKBMS.2436,UK,-1.78633106992661,51.4845592169348,1.06366813822027,0.347130668116835,795.765248514378,4.30939611667534,658.32434521172,0.16622486098149,1.3555718988376,0.024597577728379,33,2.74154308238132,0.772773900299892,28
UKBMS.2571,UK,-2.80797172030809,51.4631832661825,0.977021832337257,0.387253591932386,514.11778263581,4.11784556068462,650.332675316888,0.146235002146103,1.73145067703357,0.015072565700507,29,4.18030115307476,0.428883005841712,29
UKBMS.2581,UK,-3.56948592850761,51.2251551919233,1.00212081995533,0.399457147140194,546.566402118293,4.4754786191759,756.343560522228,0.211468369379143,2.10695246087117,0.014930823487567,27,3.78028390145403,0.383722163630469,30
UKBMS.2582,UK,-2.66876389994661,51.2292759683306,1.06487310554437,0.355088790628328,579.89702595543,4.16936580608393,667.445521668744,0.239569414598271,1.87830816492383,0.016732141168632,34,3.72964542438155,0.56219994326605,31
UKBMS.2613,UK,-2.77959451392086,56.5563800433668,0.826706215036182,0.456205451107413,520.582142696492,4.20203327924721,676.339562813979,0.245820711936452,1.57442722179429,0.005382240642205,16,2.30378736608994,0.076593424523689,32
UKBMS.2637,UK,-3.34256865322581,58.611576588192,0.76791631478632,0.457083836719989,935.995117882214,4.6629490752681,789.944370532588,0.13315008738804,1.58760356534856,0.009567915259176,11,4.48428535610136,0.096875141999154,33
UKBMS.2665,UK,-4.03178862815854,55.6672649957744,0.808438075043746,0.5038453788419,550.114862173175,4.86060821326127,882.946997835315,0.001148677242916,1.53605560469085,0.005651604626857,13,1.41661686079169,0.040126392850683,34
UKBMS.2909,UK,-1.45576397024095,54.518335252927,0.9242415018195,0.422270962795649,545.349071039501,4.84314379873727,721.489961249269,0.289540109230562,1.22420362603669,0.007740430338877,22,2.088294806231,0.164370314843201,35
UKBMS.2915,UK,-2.00089581412463,54.5740443680964,0.871511683086026,0.468488686727545,530.913622582412,3.88812275967234,694.682757593787,0.281395409225049,1.34144437655515,0.004739266347394,18,1.73752389315475,0.075196359378644,36
UKBMS.2936,UK,-1.56043607052307,54.7994694458755,0.740198452212903,0.480479218163911,573.00942526891,5.26483828195388,774.049827526545,0.152046238804241,1.23216353651186,0.00733108745339,18,1.88901278871196,0.107146662780318,37
UKBMS.2938,UK,-1.74540784293179,54.9613698547877,0.777789535716537,0.479014243400035,589.553241975183,5.26226372857934,744.999856019801,0.253309318371882,1.61597707772506,0.014285897973463,19,1.73907156486588,0.200002571628482,38
UKBMS.3004,UK,-3.7145038760937,52.8776840980629,0.949025337040524,0.409564538435955,461.057096680442,6.32098537345316,1105.9527571007,0.121193163225293,1.15570678612843,0.005449622788085,23,3.25858264144867,0.123417927847811,39
UKBMS.3005,UK,-4.87627760965727,51.7627136192597,0.972202124904378,0.400189408890108,511.232305190985,4.76463682362586,746.759170221635,0.122661140146044,1.90883278256881,0.005083887864017,24,5.37123567463417,0.122013308736417,40
UKBMS.3042,UK,-3.22352850392731,51.8928799616371,0.962338163104584,0.421972179459075,583.806889843452,4.16573850048571,721.338742960026,0.233691008621247,1.54418501805221,0.008226070991461,24,1.62544801537331,0.135356259041317,41
UKBMS.3053,UK,-4.01963458443654,52.49963935268,1.06691750279453,0.423793921480265,823.041045517044,3.15004737381597,717.496827038294,0.412464025026471,2.89404419180076,0.008147359738723,13,3.0448687853753,0.028515759085532,42
UKBMS.3106,UK,0.651324571897394,52.391449595608,0.917741506569621,0.41132557305018,486.963154839385,4.58183886050446,664.400859974084,0.186283797084015,1.5085233298922,0.008882743635125,26,2.73733757101466,0.19351691490807,43
UKBMS.3115,UK,1.01301048159892,52.0486269880205,0.876617843283306,0.438813907728525,555.470519571271,4.77330356859159,684.314877982117,0.307212852252259,1.43837496905984,0.018561191397649,22,1.72733279257071,0.332414064121526,44
UKBMS.3212,UK,0.013929716972747,52.1751536682425,0.962768814259046,0.411872443200469,551.729864413645,5.03768975467566,703.055292780163,0.182884990841335,1.86798712371443,0.009235011189488,24,2.74038833582023,0.200861493371371,45
UKBMS.3215,UK,0.366416322900874,52.2333540141945,1.0153017206904,0.381490657703403,1532.00105560172,4.98860596567841,690.753024317361,0.378469411703695,2.392393899648,0.085778570378804,29,3.8080660084215,2.47438183785012,46
UKBMS.3231,UK,-0.267962248008906,52.3159597111801,0.950959017633123,0.422929479097696,459.347990359719,4.91331520386566,712.102240092654,0.082299827388481,2.24544579700004,0.008579115719638,25,7.69232864076177,0.213865099010965,47
UKBMS.3400,UK,-1.46005673150913,53.659072172733,0.938937990953386,0.415901342289597,450.944915072631,4.63854364212522,670.627748878079,0.129586878501642,1.58349984241199,0.015641457258542,24,4.27008234231186,0.374352210387775,48
UKBMS.3408,UK,-0.497240241590155,54.2549000331993,0.843411561883028,0.490006454357525,556.840019639873,4.61415410976209,690.181645203865,0.175771997679312,1.51020022084712,0.017657348214247,17,1.96197128258378,0.243671405356607,49
